index,pre_avg,post_avg,pre_min,pre_max,post_min,post_max,log_pre_avg,log_post_avg,log_pre_min,log_pre_max,log_post_min,log_post_max,pre_n,post_n,time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,93,2014-08-09 00:00:00 UTC
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,93,2014-08-10 00:00:00 UTC
2,0.014084507042253518,0.0,0.0,0.7530120481927711,0.0,0.0,-Infinity,-Infinity,-Infinity,-0.28367405105424204,-Infinity,-Infinity,71,93,2014-08-11 00:00:00 UTC
3,0.012293056585124763,0.00021222410865874363,0.0021929824561403508,0.27631578947368424,0.0,0.019736842105263157,-5.330593664514684,-Infinity,-6.1224928095143865,-1.286210902562908,-Infinity,-3.925268232178167,71,93,2014-08-12 00:00:00 UTC
4,0.005994749861174209,0.0035456892897059392,0.0008960573476702509,0.11290322580645161,0.0,0.1039426523297491,-6.0775841310322045,-Infinity,-7.017506142941256,-2.181224235989778,-Infinity,-2.2639159518348917,71,93,2014-08-13 00:00:00 UTC
5,0.0034865380890450725,0.00522318693622325,0.0004911591355599214,0.0618860510805501,0.0,0.10265225933202357,-6.605603971535606,-Infinity,-7.618742377670413,-2.7824604707189353,-Infinity,-2.2764081257056024,71,93,2014-08-14 00:00:00 UTC
6,0.0015778734466034567,0.007134515847378126,0.00020149103364900262,0.02619383437437034,0.0,0.22889381422526697,-7.437574683917146,-Infinity,-8.50976567558744,-3.6422312251318583,-Infinity,-1.474497076306344,71,93,2014-08-15 00:00:00 UTC
7,0.0012547316642007558,0.0070413237688685465,0.00013642564802182812,0.01800818553888131,0.0,0.17244201909959073,-7.693047029181022,-Infinity,-8.899730794880696,-4.016928872294327,-Infinity,-1.7576942201738943,71,93,2014-08-16 00:00:00 UTC
8,0.0011848436602010044,0.006966080301650448,0.00011429877700308607,0.01565893244942279,0.0,0.15121728197508286,-7.814686124505028,-Infinity,-9.076694687106265,-4.15671376127814,-Infinity,-1.889037522991309,71,93,2014-08-17 00:00:00 UTC
9,0.0010445512629451185,0.006968147385057111,9.619084263178146e-05,0.013178145440554059,0.0,0.13370527125817622,-7.953375417667556,-Infinity,-9.249176395761381,-4.329195469933256,-Infinity,-2.0121173696366434,71,93,2014-08-18 00:00:00 UTC
10,0.0009707311208382122,0.006909528520290048,7.903888713246918e-05,0.010828327537148278,0.0,0.11160290863104648,-8.06377917414135,-Infinity,-9.445570584425539,-4.525589658597415,-Infinity,-2.192808166372352,71,93,2014-08-19 00:00:00 UTC
11,0.0009252868202593038,0.006836858221177808,6.622516556291391e-05,0.009072847682119205,0.0,0.09774834437086093,-8.162832134926145,-Infinity,-9.622450022803015,-4.702469096974891,-Infinity,-2.325359017642598,71,93,2014-08-20 00:00:00 UTC
12,0.000874104086286192,0.006782848455141799,6.102398242509306e-05,0.008360285592237749,0.0,0.09251235735644107,-8.226326685967612,-Infinity,-9.704243616546224,-4.7842626907181,-Infinity,-2.380413050343907,71,93,2014-08-21 00:00:00 UTC
13,0.0008571283295440517,0.006732830419799095,5.7303306400779325e-05,0.009397742249727808,0.0,0.08698641911638301,-8.265762456894821,-Infinity,-9.767152232578871,-4.667285804754673,-Infinity,-2.442003274623296,71,93,2014-08-22 00:00:00 UTC
14,0.0008316742241882306,0.006679459499855536,5.472555135992995e-05,0.009029715974388442,0.0,0.0835111913752531,-8.304644182437963,-Infinity,-9.813179839504594,-4.707234365604013,-Infinity,-2.482774627660192,71,93,2014-08-23 00:00:00 UTC
15,0.000816926843901888,0.0066234091852755495,5.311520688373081e-05,0.008764009135815584,0.0,0.08105380570457323,-8.322826633142851,-Infinity,-9.843047288724712,-4.737101814824131,-Infinity,-2.5126420768803093,71,93,2014-08-24 00:00:00 UTC
16,0.0008100968849742275,0.006603013944745267,5.153842189352162e-05,0.009483069628407979,0.0,0.07905993918466217,-8.349481462855746,-Infinity,-9.873182972271273,-4.658247214662286,-Infinity,-2.537548990344071,71,93,2014-08-25 00:00:00 UTC
17,0.0008488775914477254,0.006512003376936692,4.775777257748699e-05,0.011032045465399494,0.0,0.0737857586322174,-8.370608174682006,-Infinity,-9.949368727792317,-4.506951017270523,-Infinity,-2.6065895384604705,71,93,2014-08-26 00:00:00 UTC
18,0.0008279296906583009,0.0064565509919385705,4.592422502870264e-05,0.010975889781859932,0.0,0.07099885189437428,-8.403447648476705,-Infinity,-9.988517801720704,-4.512054249789193,-Infinity,-2.645091572573336,71,93,2014-08-27 00:00:00 UTC
19,0.0008280118451694521,0.006424298295031912,4.5361760036289406e-05,0.010886822408709458,0.0,0.07031072805624858,-8.41034669277458,-Infinity,-10.000841097792039,-4.520202174450047,-Infinity,-2.6548308878787457,71,93,2014-08-28 00:00:00 UTC
20,0.0008260373049105438,0.006397365107042529,4.5045045045045046e-05,0.010810810810810811,0.0,0.0699099099099099,-8.416739757103366,-Infinity,-10.00784756786037,-4.527208644518379,-Infinity,-2.6605478671172067,71,93,2014-08-29 00:00:00 UTC
21,0.0008205362012007667,0.006381133421600947,4.4710721631047124e-05,0.010775283913082356,0.0,0.06939103997138514,-8.424130853307899,-Infinity,-10.015297227588134,-4.530500294097479,-Infinity,-2.6679975268449696,71,93,2014-08-30 00:00:00 UTC
22,0.0008226127808378145,0.006355141972257445,4.4414834554741284e-05,0.010703975127692649,0.0,0.06897623806351322,-8.41114390148584,-Infinity,-10.021937032735671,-4.5371400992450175,-Infinity,-2.673993209586985,71,93,2014-08-31 00:00:00 UTC
23,0.0008224120053447422,0.006344319268537307,4.426933463190048e-05,0.010668909646288017,0.0,0.06875027668334145,-8.412347970583243,-Infinity,-10.025218341107275,-4.54042140761662,-Infinity,-2.677274517958588,71,93,2014-09-01 00:00:00 UTC
24,0.0008230882469961012,0.006338371757487396,4.4138418079096045e-05,0.010637358757062147,0.0,0.06859110169491525,-8.413377215807254,-Infinity,-10.028179996493446,-4.543383063002791,-Infinity,-2.6795924655658534,71,93,2014-09-02 00:00:00 UTC
25,0.000819853619533798,0.006363807108982488,4.3668122270742355e-05,0.010524017467248908,0.0,0.06786026200873363,-8.416216166406931,-Infinity,-10.03889218954233,-4.554095256051676,-Infinity,-2.690304658614738,71,93,2014-09-03 00:00:00 UTC
26,0.0008189448009219088,0.006375244246824616,4.3359493561115205e-05,0.010449637948228764,0.0,0.06738065299397303,-8.41018934240947,-Infinity,-10.045984880764673,-4.561187947274018,-Infinity,-2.69739734983708,71,93,2014-09-04 00:00:00 UTC
27,0.0008137930950778563,0.006365254116752075,4.3086733594726185e-05,0.01038390279632901,0.0,0.06704295747339394,-8.416499875107892,-Infinity,-10.052295413463094,-4.56749847997244,-Infinity,-2.7024217087247577,71,93,2014-09-05 00:00:00 UTC
28,0.000811522655611281,0.006359602418824716,4.287061647946498e-05,0.01033181857155106,0.0,0.0667066792420475,-8.415754845396396,-Infinity,-10.057323897250996,-4.57252696376034,-Infinity,-2.7074501925126584,71,93,2014-09-06 00:00:00 UTC
29,0.0008088526028624003,0.006355678138865572,4.272956458573687e-05,0.010297825065162585,0.0,0.06648720249540657,-8.419050446401823,-Infinity,-10.060619498256424,-4.575822564765768,-Infinity,-2.710745793518086,71,93,2014-09-07 00:00:00 UTC
